condition,hours,seed,dt_ms,block_ms,block_tau_low,block_tau_high,block_ks_p,block_count
mixed,3.0,100,4,1000,1.572352243490485,1.6060194079022656,0.005,10800
mixed,3.0,100,4,10000,1.568432798254674,1.6078514519101543,0.005,1080
mixed,3.0,100,10,1000,1.2438310097398342,1.2796243197084953,0.005,10800
mixed,3.0,100,10,10000,1.243424652967541,1.2823982362203272,0.005,1080
capped,3.0,100,1,1000,1.9645779177874538,1.993390296586187,0.005,10801
capped,3.0,100,1,10000,1.9642956055607521,1.9927294172003394,0.005,1081
capped,3.0,100,4,1000,1.4749451391288244,1.5059345771836328,0.155,10801
capped,3.0,100,4,10000,1.4753473459567346,1.5050503868017149,0.09,1081
capped,3.0,100,10,1000,1.4755115307261168,1.5058525838946721,0.175,10801
capped,3.0,100,10,10000,1.4730426031504489,1.5087309867048717,0.1,1081
refractory_1.0,3.0,100,2,1000,2.114520388762829,2.1358851079423795,0.005,10800
refractory_1.0,3.0,100,2,10000,2.1119564191368743,2.1360924722713595,0.005,1080
refractory_1.0,3.0,100,4,1000,1.3218971904090349,1.34487578112035,0.005,10800
refractory_1.0,3.0,100,4,10000,1.3205426120401131,1.3453441949748872,0.005,1080
refractory_1.0,3.0,100,10,1000,1.3202528568815441,1.3446844447165915,0.005,10800
refractory_1.0,3.0,100,10,10000,1.3210372405039756,1.3464542254309628,0.005,1080
mixed,70.0,42,4,10000,1.6077987036890486,1.614193009421912,0.005,25200
mixed,70.0,42,10,10000,1.264098070109781,1.272036908970654,0.005,25200
