condition,hours,seed,iei_ms,dropped_events,events,span_ms,realized_rate_per_hour,detected_fraction_over_20ms,detected_max_duration_ms,nominal_offspring,actual_offspring,attempted_offspring,generation_limit_hits,generated_cascades,max_generated_duration_ms,generated_fraction_over_20ms,clipped_events
homogeneous,0.25,100,54.10211706102117,79.0,14255,900000,57020.0,,,,,,,,,,
homogeneous,0.25,101,53.28907694495804,75.0,14637,900000,58548.0,,,,,,,,,,
homogeneous,0.25,102,53.936409155937056,87.0,14540,900000,58160.0,,,,,,,,,,
homogeneous,0.25,103,54.01234835355286,73.0,14430,900000,57720.0,,,,,,,,,,
homogeneous,0.25,104,54.35913357400722,62.0,14410,900000,57640.0,,,,,,,,,,
homogeneous,0.25,105,54.048918156161804,71.0,14405,900000,57620.0,,,,,,,,,,
homogeneous,0.25,106,54.38809558502113,71.0,14310,900000,57240.0,,,,,,,,,,
homogeneous,0.25,107,54.79763727849486,82.0,14276,900000,57104.0,,,,,,,,,,
homogeneous,0.25,108,54.464203066242405,76.0,14394,900000,57576.0,,,,,,,,,,
homogeneous,0.25,109,54.45489401721768,68.0,14390,900000,57560.0,,,,,,,,,,
homogeneous,0.25,110,54.12574415565558,58.0,14365,900000,57460.0,,,,,,,,,,
homogeneous,0.25,111,53.943005181347154,74.0,14468,900000,57872.0,,,,,,,,,,
homogeneous,0.25,112,54.27805647126272,75.0,14502,900000,58008.0,,,,,,,,,,
homogeneous,0.25,113,53.58310140583744,77.0,14579,900000,58316.0,,,,,,,,,,
homogeneous,0.25,114,53.928499713138265,69.0,14517,900000,58068.0,,,,,,,,,,
homogeneous,0.25,115,53.54706762630941,74.0,14596,900000,58384.0,,,,,,,,,,
homogeneous,0.25,116,53.438097260564874,77.0,14683,900000,58732.0,,,,,,,,,,
homogeneous,0.25,117,53.337308104248486,81.0,14585,900000,58340.0,,,,,,,,,,
homogeneous,0.25,118,54.37503630554749,79.0,14343,900000,57372.0,,,,,,,,,,
homogeneous,0.25,119,54.52605405405406,89.0,14427,900000,57708.0,,,,,,,,,,
uniform,0.25,100,4.432377511853692,1047.0,13635,900000,54540.0,,,,,,,,,,
uniform,0.25,101,4.464743095201358,1014.0,13308,900000,53232.0,,,,,,,,,,
uniform,0.25,102,4.394812462189957,1057.0,13571,900000,54284.0,,,,,,,,,,
uniform,0.25,103,4.50488229505715,1000.0,13558,900000,54232.0,,,,,,,,,,
uniform,0.25,104,4.448244344580699,1046.0,13479,900000,53916.0,,,,,,,,,,
uniform,0.25,105,4.394309559939302,1026.0,13526,900000,54104.0,,,,,,,,,,
uniform,0.25,106,4.423587786259542,1096.0,13447,900000,53788.0,,,,,,,,,,
uniform,0.25,107,4.526155021000382,1069.0,13447,900000,53788.0,,,,,,,,,,
uniform,0.25,108,4.457988614800759,1023.0,13528,900000,54112.0,,,,,,,,,,
uniform,0.25,109,4.431650293199299,1066.0,13480,900000,53920.0,,,,,,,,,,
uniform,0.25,110,4.505206324720401,1037.0,13322,900000,53288.0,,,,,,,,,,
uniform,0.25,111,4.419107020613068,998.0,13495,900000,53980.0,,,,,,,,,,
uniform,0.25,112,4.57478254175968,964.0,13349,900000,53396.0,,,,,,,,,,
uniform,0.25,113,4.415543883687295,996.0,13495,900000,53980.0,,,,,,,,,,
uniform,0.25,114,4.516346810285975,1039.0,13521,900000,54084.0,,,,,,,,,,
uniform,0.25,115,4.566615737203972,1057.0,13430,900000,53720.0,,,,,,,,,,
uniform,0.25,116,4.478926319027842,1042.0,13340,900000,53360.0,,,,,,,,,,
uniform,0.25,117,4.591372489348752,1072.0,13491,900000,53964.0,,,,,,,,,,
uniform,0.25,118,4.491886563542614,1098.0,13536,900000,54144.0,,,,,,,,,,
uniform,0.25,119,4.382610017481189,1090.0,13504,900000,54016.0,,,,,,,,,,
mixed,0.25,100,4.4326947001741726,1889.0,12408,900000,49632.0,,,,,,,,,,
mixed,0.25,101,4.470980595980596,1662.0,11888,900000,47552.0,,,,,,,,,,
mixed,0.25,102,4.628044596912521,2150.0,12012,900000,48048.0,,,,,,,,,,
mixed,0.25,103,4.321969080553296,2263.0,12642,900000,50568.0,,,,,,,,,,
mixed,0.25,104,4.282730796614192,2149.0,12989,900000,51956.0,,,,,,,,,,
mixed,0.25,105,4.219178082191781,2420.0,13126,900000,52504.0,,,,,,,,,,
mixed,0.25,106,4.4925545043192106,2369.0,12505,900000,50020.0,,,,,,,,,,
mixed,0.25,107,4.530332029624699,1924.0,12362,900000,49448.0,,,,,,,,,,
mixed,0.25,108,3.9765172084831586,2799.0,13984,900000,55936.0,,,,,,,,,,
mixed,0.25,109,4.8713025904831895,1463.0,11231,900000,44924.0,,,,,,,,,,
mixed,0.25,110,4.297057893071813,2405.0,12981,900000,51924.0,,,,,,,,,,
mixed,0.25,111,4.510064908388793,2057.0,12513,900000,50052.0,,,,,,,,,,
mixed,0.25,112,4.464657308009909,1984.0,12455,900000,49820.0,,,,,,,,,,
mixed,0.25,113,4.234326505276226,2826.0,13237,900000,52948.0,,,,,,,,,,
