condition,hours,seed,policy,dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
homogeneous,0.25,100,iei_float,54.10211706102117,0.8648018648018648,2.462601709988265,0.8691216592582431,4047,1.0,3.522362243637262,26,1.4105308257001834,0.3337848229972866,-623.6778258247901,-22.270239218511676,0.137718717420092,4047
homogeneous,0.25,100,iei_100,38.0,0.6106153123532174,3.153159361402216,0.8652645381272992,5860,1.0,2.43259385665529,18,1.7329890625133064,0.5294703440421744,-868.1645438819052,-28.75452344661348,0.13921134379540073,5860
homogeneous,0.25,100,iei_400,62.0,0.997002997002997,2.367472973984473,0.8664475152073511,3365,0.999702823179792,4.236255572065379,31,1.2651273603585746,0.26916179648724414,-522.9134893220685,-20.357855212770687,0.13136157960147107,3364
homogeneous,0.25,101,iei_float,53.28907694495804,0.8631090487238979,2.5086867742899126,0.8920255772325711,4155,1.0,3.522743682310469,27,1.4043050988925696,0.3337417401879855,-677.8104778310025,-23.186826614601465,0.13966839656001862,4155
homogeneous,0.25,101,iei_100,37.0,0.6016795279164775,3.1642763587583613,0.8712902233266201,6021,1.0,2.430991529646238,17,1.742173755324286,0.5299305548606674,-822.6671200797371,-26.093074464892258,0.13122190909232273,6021
homogeneous,0.25,101,iei_400,61.0,0.9568922305764411,2.341369370985953,0.8345529537965806,3494,1.0,4.189181453921007,27,1.2695199576601528,0.27210246348620093,-557.9289872742968,-21.84301392629935,0.13185009365610162,3494
homogeneous,0.25,102,iei_float,53.936409155937056,0.8670836591086787,2.5994988178949803,0.8636855309776202,4066,0.999754058042302,3.575996064928677,31,1.3933288216890372,0.32857023994851053,-666.1045767889959,-24.117624171872027,0.13629821157434108,4065
homogeneous,0.25,102,iei_100,37.0,0.6069246435845214,2.9762799802011988,0.8881873585254566,6035,1.0,2.4092792046396023,16,1.7481071363220533,0.5362483352004754,-846.3937755476022,-26.968642536396388,0.13476188325723065,6035
homogeneous,0.25,102,iei_400,61.0,1.01454898157129,2.252216456106546,0.858715409715016,3455,0.9997105643994211,4.208393632416787,31,1.2676099293370857,0.2712350454448107,-550.3302164138681,-21.360686910916165,0.1340298829775481,3454
homogeneous,0.25,103,iei_float,54.01234835355286,0.8369351669941061,2.6038544622930533,0.8711949351960783,4065,1.0,3.5498154981549814,26,1.403986646401643,0.3307119141060294,-628.4712131753538,-21.929694186338143,0.13510374337846276,4065
homogeneous,0.25,103,iei_100,37.0,0.5937286980231765,3.0334626904617163,0.8739678376258438,5969,1.0,2.4174903668956276,16,1.749092782472454,0.5338410325363656,-803.0344396308687,-25.584881616800743,0.1308301963805219,5969
homogeneous,0.25,103,iei_400,62.0,1.0045271629778671,2.2336465209458893,0.8428859377889111,3441,0.999709386806161,4.193548387096774,35,1.2675671993066846,0.2724513765206761,-563.3153057903363,-22.473975737877964,0.13835593846654987,3440
