condition,window_ms,hits,n,fraction,ci_low,ci_high
capped,20,20,20,1.0,0.8388748398148705,1.0000000000000002
capped,40,20,20,1.0,0.8388748398148705,1.0000000000000002
capped,100,20,20,1.0,0.8388748398148705,1.0000000000000002
homogeneous,20,0,20,0.0,0.0,0.16112516018512965
homogeneous,40,0,20,0.0,0.0,0.16112516018512965
homogeneous,100,0,20,0.0,0.0,0.16112516018512965
mixed,20,20,20,1.0,0.8388748398148705,1.0000000000000002
mixed,40,20,20,1.0,0.8388748398148705,1.0000000000000002
mixed,100,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_0.8,20,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_0.8,40,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_0.8,100,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_1.0,20,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_1.0,40,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_1.0,100,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_1.2,20,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_1.2,40,20,20,1.0,0.8388748398148705,1.0000000000000002
refractory_1.2,100,20,20,1.0,0.8388748398148705,1.0000000000000002
uniform,20,20,20,1.0,0.8388748398148705,1.0000000000000002
uniform,40,20,20,1.0,0.8388748398148705,1.0000000000000002
uniform,100,20,20,1.0,0.8388748398148705,1.0000000000000002
