condition,hours,seed,dt_ms,iei_ms,native_dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,signature_regression,signature_mle
mixed,70.0,42,1,4.48140887423207,4,0.27506325637846923,3.3066828872465317,0.9855726539599706,2059124,0.9998290535198463,1.6844109436828476,168,2.343393761716497,0.9063939748893926,37874.043644125544,43.327469086072654,0.04677289299697318,2058772,False,False
mixed,70.0,42,2,4.48140887423207,4,0.4220452267511112,2.482971183727457,0.9892719057295537,1402272,0.9971367894388535,2.473422417334155,359,1.9317734674997293,0.5615729895419197,68150.52205617903,78.67478244268533,0.06051930330684785,1398257,False,False
mixed,70.0,42,3,4.48140887423207,4,0.5246297596913423,2.200938457837397,0.9867553694819872,1031057,0.991621219777374,3.363937202307923,370,1.7351497412507921,0.4320065364440838,55527.05915703141,76.95551809321715,0.06547910985216293,1022418,False,False
mixed,70.0,42,4,4.48140887423207,4,0.6047612720665335,2.023991593009114,0.9855785982387614,798223,0.9840996814173483,4.3451654487530424,396,1.6109615573806284,0.3635530354821447,41180.9746345834,67.47439774068887,0.06784872242489909,785531,False,False
mixed,70.0,42,5,4.48140887423207,4,0.6768482208376763,1.9013127120143134,0.9843811419733707,641762,0.9746806448496483,5.404512887955348,396,1.5217169275362696,0.320583335156604,30243.810235475692,57.534374814240465,0.06868976677032046,625513,False,False
mixed,70.0,42,6,4.48140887423207,4,0.7404856842875176,1.8022192625248872,0.9836208769460227,530606,0.9633230683407273,6.536697662672491,396,1.4518799364926505,0.2901128085902658,22790.306865456016,49.48230788874257,0.06912323220554256,511145,False,False
mixed,70.0,42,8,4.48140887423207,4,0.8653512651093422,1.656656504857085,0.9823379202647171,387938,0.9353015172527569,8.940632265980646,419,1.34830868909477,0.2496757855291794,13988.110760554233,38.163116584458606,0.06839044034549313,362839,True,True
mixed,70.0,42,10,4.48140887423207,4,0.9862630177374102,1.5260854073168328,0.9834482594762772,303306,0.9012251653445695,11.435352416371584,419,1.2687164636860846,0.22105462183132163,10502.119062414025,34.500372888459964,0.06547161279588515,273347,True,False
mixed,70.0,42,12,4.48140887423207,4,1.1101743465873901,1.3938461346868996,0.9853701003458755,249309,0.8650510009666719,13.91209703620808,419,1.1954564145491933,0.1959583495604062,9603.3466750407,37.218156006793826,0.05971042897300699,215665,True,False
mixed,70.0,42,16,4.48140887423207,4,1.4040987054259944,1.1152492192067673,0.9857508895230622,187490,0.8007253720198411,18.499178622859887,419,1.0470120901655786,0.14983932840783082,10216.29831490803,54.02136186005319,0.04337706722077431,150128,False,False
mixed,70.0,42,20,4.48140887423207,4,1.7218245300766863,0.8894714602505461,0.9799399791919766,155652,0.7526983270372369,22.283112327499808,419,0.8906224525646795,0.11238422344248955,8638.062390553407,62.735827246557115,0.024474938439686345,117159,False,False
mixed,70.0,42,24,4.48140887423207,4,2.06456255574475,0.7225268119420676,0.9749746881378467,137775,0.7181201233895844,25.174458356015244,419,0.7470583759943974,0.08572278560148561,6104.087800808032,58.90300754714475,0.019495823083355235,98939,False,False
mixed,70.0,42,32,4.48140887423207,4,2.823592539954172,0.4965968524699846,0.9574875440575942,119575,0.6735438009617395,29.006155132761865,419,0.5070110770648544,0.05286618781013215,1998.6705128839685,32.80894541309594,0.0180674117456614,80539,False,False
mixed,70.0,42,48,4.48140887423207,4,4.300858037862623,0.2541295194836068,0.679887139889054,107405,0.6354732088822681,32.29282621851869,419,0.2276054603091726,0.026837366047483643,-372.518891518274,-15.54911005018749,0.0382736524922882,68253,False,False
mixed,70.0,42,64,4.48140887423207,4,5.88466905296366,0.13288737433263823,0.23334610707843984,103538,0.6218103498232533,33.498918271552476,419,0.11199521887727393,0.018926567977907767,-552.2672039541563,-27.459479092889925,0.05668659200776527,64381,False,False
mixed,70.0,42,96,4.48140887423207,4,8.461124292754151,0.04204427796167061,0.018315521803777934,100282,0.6087333718912666,34.58657585608584,419,0.05173141352082489,0.015306393688525946,-473.742775138796,-21.959702754080244,0.06653045121617818,61045,False,False
mixed,70.0,42,128,4.48140887423207,4,10.677741663657157,0.025613866504370184,0.0065291839552305,98055,0.5998776197032277,35.37209729233594,419,0.04221310564893166,0.014542054125571986,-426.01441206215975,-20.093079242782842,0.06717382235596836,58821,False,False
mixed,70.0,100,1,4.477580972305305,4,0.2767626817476639,3.3283497304546437,0.9857552268454043,2063618,0.9998459017124294,1.6812331545857808,93,2.3422555197338983,0.9083465885964457,31745.253240410504,36.736133006740744,0.047861170116135776,2063300,False,False
mixed,70.0,100,2,4.477580972305305,4,0.42446897784365223,2.503969474286786,0.9878327031734947,1404210,0.9972660784355616,2.470729449298894,319,1.9278416434045536,0.560203612028898,64944.10676576626,75.75740550130621,0.06099035763201244,1400371,False,False
mixed,70.0,100,3,4.477580972305305,4,0.5266612615106752,2.1924063209047744,0.9869151097253759,1031621,0.991786712368205,3.3630790765213194,379,1.7312237617618376,0.429378812306078,56291.061165111416,77.98413271599456,0.06526267956003756,1023148,False,False
mixed,70.0,100,4,4.477580972305305,4,0.6066830330826851,2.0123515848647324,0.9860484884737215,797925,0.9840172948585393,4.348056521602907,379,1.6079133263031569,0.3612786944809052,42630.175179368125,69.81425923444154,0.06714496652338442,785172,False,False
mixed,70.0,100,5,4.477580972305305,4,0.6749535778428741,1.8884854924836925,0.985397170775524,641185,0.9744987796033906,5.4109547166574385,379,1.5205612267467021,0.3192385572351021,31750.436287036693,60.23557210843531,0.06782818870118823,624834,False,False
mixed,70.0,100,6,4.477580972305305,4,0.7412628842429798,1.7939618358237095,0.9843098950281358,530203,0.9631631658063043,6.543574819455944,379,1.4510806179577944,0.28924205144268555,23675.480674194445,51.319002743728106,0.06817546295040755,510672,False,False
mixed,70.0,100,8,4.477580972305305,4,0.8647477641746982,1.6438048830827467,0.9835280298612236,387324,0.9348762276543668,8.957418078921007,379,1.3476165860101244,0.24861649144294679,15074.969686282655,41.0267507490941,0.06728255314837217,362100,True,True
mixed,70.0,100,10,4.477580972305305,4,0.9836577545206394,1.5222538975258788,0.9837264535331359,302828,0.9004418349690253,11.456744422576513,385,1.2679629465085736,0.2203771555197494,10964.00730770951,36.12852090841584,0.06441764718598647,272679,True,False
mixed,70.0,100,12,4.477580972305305,4,1.118345948628862,1.3948740248454128,0.9849470533365977,248644,0.8634433165489616,13.95337510657808,385,1.1971364230517825,0.19651396515966563,9521.87310383998,36.85724005873018,0.060423629069654816,214690,True,False
mixed,70.0,100,16,4.477580972305305,4,1.3973888256753746,1.1149082041483283,0.9840980394311997,187027,0.79873494201372,18.550385773177133,385,1.0478759721151452,0.14987697523196242,10303.917968439844,54.42283284066894,0.04268957572152193,149385,False,False
mixed,70.0,100,20,4.477580972305305,4,1.738298348190038,0.8875519425254985,0.9810408582855988,155187,0.7502239233956453,22.356402275963838,385,0.8908947537381255,0.11221254663334598,8722.380453101423,63.43834638333916,0.023992816562417835,116425,False,False
mixed,70.0,100,24,4.477580972305305,4,2.0874645675714256,0.7218610116670484,0.9795769690545063,137327,0.7151980309771567,25.263953920205058,385,0.745573652965339,0.0855134597682995,6024.784268388512,58.25424083746203,0.016788291438319947,98216,False,False
mixed,70.0,100,32,4.477580972305305,4,2.828940478268459,0.49668733824189265,0.960925513152686,119442,0.6708360543192512,29.046926541752484,385,0.507547147212053,0.05291913133656456,1997.2131697190284,32.74384542455823,0.017943916769238233,80126,False,False
mixed,70.0,100,48,4.477580972305305,4,4.366456814167308,0.2515855176879774,0.6740031581153993,107322,0.6329550325189617,32.32723020443152,424,0.2261513441154417,0.02666390652493332,-367.45188614524034,-15.421295274326402,0.03882222200602958,67930,False,False
mixed,70.0,100,64,4.477580972305305,4,5.756670551432252,0.13067339418085852,0.2309064717969258,103488,0.619192563388992,33.52488211193568,424,0.11041641344455932,0.018665395333446196,-535.2835633204533,-26.981386510830312,0.05691755543651689,64079,False,False
mixed,70.0,100,96,4.477580972305305,4,8.519645921777617,0.038776791078618054,0.016309675573482618,100221,0.6067889963181369,34.61772482812983,503,0.04841899364460822,0.0148394181649016,-447.62461709525786,-21.122987199236007,0.06609406595576461,60813,False,False
mixed,70.0,100,128,4.477580972305305,4,10.755967526959893,0.02071107967392427,0.004471177850100871,98028,0.5984310605133227,35.392163463500225,503,0.03821489375361331,0.013968121611753787,-396.1137567140515,-19.08391697490004,0.06614697021962634,58663,False,False
mixed,70.0,101,1,4.467182074312813,4,0.2771504102158207,3.3192314012112756,0.9854719261292556,2067329,0.999846662045567,1.6838243936983421,73,2.3402261995352855,0.9061183895514437,32852.520743320274,37.87200762506598,0.047760530348612606,2067012,False,False
mixed,70.0,101,2,4.467182074312813,4,0.42496817825612315,2.491926650690665,0.9883006632375099,1406969,0.9972550923296818,2.4741262956042385,337,1.927410654522225,0.5590642880718117,67123.73122441699,77.87192432896475,0.06081584187535416,1403107,False,False
mixed,70.0,101,3,4.467182074312813,4,0.5279286503768225,2.1859884459797736,0.9872893419925609,1032531,0.9916670782765844,3.371345751362429,394,1.7293902768406877,0.42836175089299966,56187.68081562736,77.71261715446597,0.06612754234286794,1023927,False,False
mixed,70.0,101,4,4.467182074312813,4,0.6094858857907843,2.0185484699976413,0.9854004381701318,798385,0.9839263012205891,4.360075652723936,394,1.605289239431345,0.36097522799113213,40375.81913144523,66.32970162178304,0.06824248796589977,785552,False,False
mixed,70.0,101,5,4.467182074312813,4,0.6824475358810712,1.8963957767812376,0.9842027876984513,640560,0.9743568127888098,5.434337142500312,394,1.5156341415487393,0.31828325117044476,29090.360708497905,55.56923994638793,0.06932715742161538,624134,False,False
mixed,70.0,101,6,4.467182074312813,4,0.7441098256833786,1.798060853784175,0.9837836747963258,529465,0.9628360703729236,6.574596998857337,394,1.4488345924259303,0.28907472049508043,22244.33729547611,48.39215874608128,0.06964332052226635,509788,False,False
mixed,70.0,101,8,4.467182074312813,4,0.8681478704062991,1.6509621789805353,0.9824525580466166,387627,0.9344834080185332,8.980331607447365,394,1.345073060432446,0.24848271751366469,13917.648072940336,37.999110226346204,0.06758851377997493,362231,True,True
mixed,70.0,101,10,4.467182074312813,4,0.9843333771337786,1.5272162957882158,0.9831014626226808,302970,0.8999504901475394,11.489649140178896,394,1.2674257000132787,0.2206600753702585,10423.597444940942,34.38681092790882,0.06477338814932626,272658,True,False
mixed,70.0,101,12,4.467182074312813,4,1.1102045881093825,1.3953345041761185,0.9853250533560794,248813,0.8631984663180783,13.990502907806263,394,1.1957510048875104,0.1961171800915819,9496.432498085467,36.85387694188307,0.059157838722268485,214775,True,False
mixed,70.0,101,16,4.467182074312813,4,1.4043555378055512,1.1110299250622246,0.9851771537804616,187005,0.798144434640785,18.614577150343575,394,1.0466261813381603,0.14935316575735075,10454.321087940212,55.419077686420934,0.04208680821190727,149257,False,False
mixed,70.0,101,20,4.467182074312813,4,1.7291696670027044,0.8864642626288027,0.9794767571247852,155220,0.749252673624533,22.426356139672723,422,0.8899502148501437,0.11202002652542964,8706.508719365718,63.41912317103583,0.02322287972540768,116299,False,False
mixed,70.0,101,24,4.467182074312813,4,2.0745585482952236,0.7164473153959523,0.9740255797572908,137093,0.7133989335706419,25.391661135141838,422,0.7424848539251645,0.08485488263619817,6031.370350471291,58.86302518090192,0.01956665560892007,97802,False,False
mixed,70.0,101,32,4.467182074312813,4,2.8215394435256913,0.4974583135403554,0.9600527973318908,119643,0.6700266626547312,29.09504943874694,422,0.5106997033820715,0.05304936525357867,2101.455624315036,34.12850390615175,0.019060903093122694,80164,False,False
mixed,70.0,101,48,4.467182074312813,4,4.305200072098053,0.25406958567411125,0.6906108373162684,107575,0.6322286776667442,32.35899604926795,422,0.2295721173663683,0.02680045800067015,-339.58121741092407,-14.146032479073076,0.036902457482662965,68012,False,False
mixed,70.0,101,64,4.467182074312813,4,5.809220116618076,0.1306058607451896,0.23357955395150498,103672,0.6182093525735011,33.57723396867042,422,0.11104603909967459,0.018666518011047913,-531.9883659676307,-26.885778647585177,0.05555154683904673,64091,False,False
mixed,70.0,101,96,4.467182074312813,4,8.498020870816841,0.043839289919401586,0.021327488295782238,100481,0.6060847324369781,34.64355450284133,422,0.05241092928103619,0.01506216183062039,-454.28295442264755,-21.57680969600124,0.06468152815726991,60900,False,False
mixed,70.0,101,128,4.467182074312813,4,10.79657725452118,0.02396769209910644,0.006034380325896538,98207,0.5963118718624946,35.445731974299186,422,0.04125735276146436,0.014188406968035291,-403.76073722374116,-19.48492706011073,0.06543704840124043,58562,False,False
