condition,seed,control,jitter_ms,dt_ms,original_native,control_native,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
homogeneous,100,none,0,10,54,54,0.15586773700305812,4.4335862144769465,0.9336476040610806,11318,1.0,1.2594981445485067,6,2.993957646592653,1.5797190701481512,-400.52157450329565,-18.49564754112572,0.04050439375442927,11318
homogeneous,100,none,0,54,54,54,0.8440988835725678,2.504686626825956,0.8735462915219653,4048,1.0,3.52149209486166,26,1.4028667840132503,0.333883145999897,-670.6039531831648,-24.178572113321117,0.14661312000874865,4048
homogeneous,100,shuffle,0,10,54,54,0.16058885788511498,4.611572991444712,0.9549969592439858,11248,1.0,1.2673364153627311,8,2.9733095017905367,1.5561648183582366,-377.0697209134944,-16.07560959415653,0.040651414461087776,11248
homogeneous,100,shuffle,0,54,54,54,0.8987194412107101,2.5934948637218858,0.8464889805152189,4061,1.0,3.510219157842896,23,1.3993272156013017,0.33516214873802896,-709.1982662643773,-26.1493602336341,0.14579763664558348,4061
homogeneous,100,jitter,4,10,54,54,0.15581572434799162,4.454239040570304,0.929193920329953,11341,1.0,1.2569438321135702,6,3.006307162636782,1.5875810145916232,-377.4945786645221,-17.46915512983285,0.03893547120486951,11341
homogeneous,100,jitter,4,54,54,54,0.8392715756136183,2.609623149900001,0.8665767358156256,4070,1.0,3.5024570024570023,26,1.4074732851223164,0.3360484891394704,-672.6439858478897,-24.18700276146374,0.14664417413209085,4070
homogeneous,100,jitter,20,10,54,54,0.1576974822217951,4.515397505041196,0.9186844910783358,11277,1.0,1.2640773255298394,6,2.9776536928130337,1.5658557881028252,-410.5062351857929,-18.86243374207913,0.04159524201235365,11277
homogeneous,100,jitter,20,54,54,54,0.8568580542264753,2.4704859626079703,0.8704957916959177,4029,1.0,3.5380987838173246,26,1.4003011490577268,0.33201651289748824,-660.3720883890389,-23.808901530001368,0.14288452549935377,4029
homogeneous,100,jitter,80,10,54,54,0.1587073264288454,4.350570763668702,0.9320356071104337,11280,1.0,1.263741134751773,6,2.9811180822330012,1.566863683367036,-396.7541717363411,-17.98636434427013,0.04095368426664103,11280
homogeneous,100,jitter,80,54,54,54,0.8527489427143407,2.57635080486181,0.8737894447760866,4060,1.0,3.5110837438423643,28,1.408134597984093,0.33506371083105324,-655.2925877369622,-23.45001057328945,0.1410893112705448,4060
